Categoria,Total,18-29 anos,30-44 anos,45-59 anos,60+ anos,Hombre,Mujer,Sin diploma de secundaria,Secundaria completa o equivalente,Algo de universidad/tecnico,Licenciatura o mas,Blanco no hispano,Negro no hispano,Hispano,Otro/2+ no hispano,Menos de $30k,$30k a $60k,$60k a $100k,$100k o mas
Aumento leve,25%,31%,32%,22%,18%,29%,22%,22%,18%,26%,31%,25%,26%,21%,33%,21%,25%,22%,31%
Aumento significativo,15%,13%,18%,17%,12%,15%,15%,3%,9%,13%,24%,13%,20%,12%,24%,11%,13%,14%,20%
Aumento significativo/leve (NET),40%,44%,51%,39%,30%,43%,37%,24%,27%,39%,55%,39%,46%,33%,57%,32%,39%,35%,51%
Disminucion leve,2%,5%,1%,0,1%,2%,2%,- ,1%,3%,2%,2%,1%,2%,2%,1%,1%,2%,3%
Disminucion significativa,2%,6%,3%,- ,1%,2%,3%,3%,4%,2%,1%,2%,3%,3%,1%,1%,2%,4%,2%
Disminucion significativa/leve (NET),4%,11%,4%,0,3%,4%,4%,3%,6%,4%,3%,4%,4%,5%,2%,3%,3%,5%,5%
No sabe,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
No usaba IA previamente,38%,26%,30%,40%,50%,33%,43%,50%,52%,33%,28%,40%,34%,43%,20%,44%,45%,38%,28%
Rechazo responder,0%,- ,- ,1%,0%,- ,0%,- ,0%,0%,- ,0%,1%,- ,- ,- ,1%,- ,-
Sin cambios,17%,18%,14%,20%,16%,20%,14%,22%,14%,23%,14%,16%,14%,19%,20%,20%,11%,20%,16%
Skipped on web,1%,1%,1%,1%,0%,1%,1%,1%,1%,1%,1%,1%,1%,0%,0%,1%,1%,1%,0%
Total de encuestados,1163,231,298,271,363,566,597,102,332,303,426,696,140,214,112,262,263,262,376
